word,level,transcription,russian
eldiven,A2,элдивен,"перчатка; рукавица"
elektrik enerjisi,A2,электрик энержиси,"(нет перевода)"
emir,A2,эмир,"команда; наказ; порядок"
enerjik,A2,энержик,"энергичный; активный"
erişkin,A2,эришкин,"(нет перевода)"
esnek,A2,эснек,"гибкий; эластичный"
esprili,A2,эсприли,"остроумный; смышлёный"
et,A2,эт,"едва достаточный; голый"
etkinlik,A2,эткинлик,"деятельность; активность; происшествие"
etraf,A2,этраф,"окружающая среда; экосистема"
ev planı,A2,эв планы,"(нет перевода)"
evliya,A2,эвлийа,"святой; святая"
fal,A2,фал,"судьба; рок"
farkında olmak,A2,фаркында олмак,"-ать; -еть"
fay,A2,фай,"вина; дефект"
faydalı,A2,файдалы,"нелишний; полезный; выгодный"
ferah,A2,ферах,"состояние; государство; мирный"
festival,A2,фестивал,"празднество; праздник"
fethetmek,A2,фетхетмек,"-ать; -еть"
form,A2,форм,"фигура; форма"
fıkra,A2,фыкра,"анекдот; забавная история; параграф"
fırsatçı,A2,фырсатчы,"товар, купленный по дешёвке; сделка; оппортунист"
fırtına,A2,фыртына,"шторм; буря"
fırçalamak,A2,фырчаламак,"-ать; -еть"
fışkırmak,A2,фышкырмак,"(нет перевода)"
gazetecilik,A2,газетеджилик,"(нет перевода)"
gece,A2,гедже,"ночь; вечер; на"
gelenek,A2,геленек,"традиция; предание"
geleneksel,A2,геленексел,"традиционный"
genişlik,A2,генишлик,"ширина; широта"
gerekli,A2,герекли,"необходимый; нужный"
gerçekleştirmek,A2,герчеклештирмек,"-ать; -еть; каузатив"
geç kalmak,A2,геч калмак,"-ать; -еть"
geçirmek,A2,гечирмек,"каузатив; каузативный залог; -ать"
gitar çalmak,A2,гитар чалмак,"(нет перевода)"
giyinmek,A2,гийинмек,"-ать; -еть"
gişe memuru,A2,гише мемуру,"(нет перевода)"
gökkuşağı,A2,гёккушаы,"радуга; весёлка"
gökyüzü,A2,гёкйюзю,"небо; небеса"
göz kırpmak,A2,гёз кырпмак,"-ать; -еть"
gözleme,A2,гёзлеме,"вербальный; словесный; наблюдение"
gözlük,A2,гёзлюк,"очки"
güneş,A2,гюнеш,"солнце"
güneşlenmek,A2,гюнешленмек,"-ать; -еть"
güneşli,A2,гюнешли,"солнечный"
günlük,A2,гюнлюк,"ежедневный; ежесуточный; из"
gürültü,A2,гюрюлтю,"затруднение; шум; галдёж"
güvenilir,A2,гювенилир,"надёжный"
güvenmek,A2,гювенмек,"-ать; -еть"
güverte,A2,гюверте,"дек; палуба"
han,A2,хан,"хан; каган; караван-сарай"
hapşırmak,A2,хапшырмак,"-ать; -еть"
harika,A2,харика,"великолепный; замечательный"
hat,A2,хат,"линия; прямая; запись"
hatırlamak,A2,хатырламак,"-ать; -еть"
hayalci,A2,хайалджи,"(нет перевода)"
hayran,A2,хайран,"обожатель; обожательница"
hayvan,A2,хайван,"звериный; животный; Зверь"
haşlamak,A2,хашламак,"-ать; -еть"
heyecan,A2,хейеджан,"волнение; азарт; синоним"
hizmetçi,A2,хизметчи,"слуга; прислужник"
hobi,A2,хоби,"конёк; увлечение"
hokkabaz,A2,хоккабаз,"жонглёр; жонглёрша"
horlamak,A2,хорламак,"-ать; -еть"
hortum,A2,хортум,"морда; рубильник; шланг"
hoş görmek,A2,хош гёрмек,"(нет перевода)"
huzurlu,A2,хузурлу,"мирный; спокойный"
hüküm vermek,A2,хюкюм вермек,"-ать; -еть"
hükümdar,A2,хюкюмдар,"(нет перевода)"
hırsız,A2,хырсыз,"вор; воришка"
icat,A2,иджат,"изобретение; изобретательность"
icat etmek,A2,иджат этмек,"(нет перевода)"
idareci,A2,идареджи,"директор; директриса"
ihmal etmek,A2,ихмал этмек,"-ать; -еть"
ihtimal,A2,ихтимал,"возможность"
ihtiyaç,A2,ихтийач,"нужда; необходимость"
iklim,A2,иклим,"климат"
ikna etmek,A2,икна этмек,"-ать; -еть"
ilan,A2,илан,"н. э; нашей эры; реклама"
ilave etmek,A2,илаве этмек,"-ать; -еть"
ilaç,A2,илач,"лекарство; лекарственное средство; пестицид"
ilerlemek,A2,илерлемек,"-ать; -еть"
iletişim,A2,илетишим,"передача; распространение"
ilgilenmek,A2,илгиленмек,"-ать; -еть"
ilginç,A2,илгинч,"интересный; занятный"
ilk,A2,илк,"первый; в первую очередь; девственный"
imzalamak,A2,имзаламак,"-ать; -еть"
inanç,A2,инанч,"вера; доверие; уверенность"
inatçı,A2,инатчы,"упорный; упёртый"
incelemek,A2,инджелемек,"-ать; -еть"
incitmek,A2,инджитмек,"каузатив; каузативный залог"
inşaat,A2,иншаат,"конструкция; построение; строительство"
iptal olmak,A2,иптал олмак,"(нет перевода)"
iskele,A2,искеле,"док; пристань; дорога"
iskelet,A2,искелет,"скелет; скелетон"
istek,A2,истек,"жажда; желание; желать"
isyan etmek,A2,исйан этмек,"-ать; -еть"
itfaiyeci,A2,итфаийеджи,"огнеборец; пожарная"
itmek,A2,итмек,"-ать; -еть"
iyileşmek,A2,ийилешмек,"-ать; -еть"
izin,A2,изин,"позволение; разрешение; отпуск"
izleyici,A2,излейиджи,"зевака; зритель"
işaretlemek,A2,ишаретлемек,"-ать; -еть"
İhtiyaç,A2,ихтийач,"(нет перевода)"
jimnastik,A2,жимнастик,"гимнастика"
kaban,A2,кабан,"пальто; пиджак"
kadayıf,A2,кадайыф,"разный; различный"
kadeh,A2,кадех,"стекло; бокал"
kahkaha,A2,кахкаха,"смех; хохот"
kahraman,A2,кахраман,"герой; главный герой; главная героиня"
kalsiyum,A2,калсийум,"кальций"
kampanya,A2,кампанйа,"кампания; поход; особый"
kanat,A2,канат,"крыло; авиаполк; плавник"
kap,A2,кап,"корабль; судно; обложечный"
kaplumbağa,A2,каплумбаа,"желвь; черепаха"
kapıcı,A2,капыджы,"портье; привратник"
kar,A2,кар,"снег; снегопад"
karabiber,A2,карабибер,"чёрный перец; чёрный; вороной"
karanlık,A2,каранлык,"тёмный; мрачный; тьма"
karar,A2,карар,"решение; урегулирование"
karar vermek,A2,карар вермек,"-ать; -еть"
karizmatik,A2,каризматик,"(нет перевода)"
karpuz,A2,карпуз,"арбуз; люстра"
kartopu oynamak,A2,картопу ойнамак,"(нет перевода)"
karınca,A2,карынджа,"муравей; мурашка"
karşılaşmak,A2,каршылашмак,"-ать; -еть"
kasaba,A2,касаба,"касба; град; город"
katedral,A2,катедрал,"кафедральный собор; собор"
katmer,A2,катмер,"(нет перевода)"
kaval,A2,кавал,"(нет перевода)"
kavga etmek,A2,кавга этмек,"(нет перевода)"
kayak yapmak,A2,кайак йапмак,"(нет перевода)"
kaybolmak,A2,кайболмак,"-ать; -еть"
kaymak,A2,каймак,"каймак; лучший; наилучший"
kaynamak,A2,кайнамак,"-ать; -еть"
kaynatmak,A2,кайнатмак,"-ать; -еть"
kazak,A2,казак,"пуловер; свитер; крутой парень"
kazanmak,A2,казанмак,"-ать; -еть"
kaçmak,A2,качмак,"-ать; -еть"
kekik,A2,кекик,"тимьян; чабрец"
kemer,A2,кемер,"пояс; ремень; арх"
kemik,A2,кемик,"кость; косточка"
kenar,A2,кенар,"бок; сторона"
kestane,A2,кестане,"каштановый; каштан; конский каштан"
keşfetmek,A2,кешфетмек,"-ать; -еть"
kilogram,A2,килограм,"кило; килограмм"
klasik,A2,класик,"классический"
klinik,A2,клиник,"клиника; амбулатория; клинический"
klozet,A2,клозет,"туалет; клозет"
kokoreç,A2,кокореч,"(нет перевода)"
koleksiyon,A2,колексийон,"коллекционирование; собирание"
kolesterol,A2,колестерол,"(нет перевода)"
komedi,A2,комеди,"комедия"
komutan,A2,комутан,"военачальник; командир"
konfeksiyon,A2,конфексийон,"(нет перевода)"
konforlu,A2,конфорлу,"комфортабельный; удобный"
kongre,A2,конгре,"Конгресс; конгресс; договор"
kopmak,A2,копмак,"-ать; -еть; перерыв"
korkak,A2,коркак,"трусливый; малодушный; трус"
korku,A2,корку,"страх; боязнь"
koyun,A2,койун,"овца; агнец; переходный"
kredi almak,A2,креди алмак,"(нет перевода)"
kristal,A2,кристал,"кристалл; горный хрусталь"
kum,A2,кум,"песок; песочный; жёсткий"
kum fırtınası,A2,кум фыртынасы,"песчаная буря"
kumpir,A2,кумпир,"печёная картошка; печёный картофель; запечённый"
kurabiye,A2,курабийе,"бисквит; печенье"
kurak,A2,курак,"сухой; высохнуть"
kuraklık,A2,кураклык,"сушь; засуха"
kurnaz,A2,курназ,"коварный; лукавый"
kuruyemiş,A2,куруйемиш,"(нет перевода)"
kutlama,A2,кутлама,"вербальный; словесный; празднование"
kutsal,A2,кутсал,"святой; священный; неприкосновенный"
kuşbaşı,A2,кушбашы,"мясо; мякоть"
kâse,A2,касе,"миска; пиала"
köfte,A2,кёфте,"кюфта; тефтели"
közlemek,A2,кёзлемек,"(нет перевода)"
köçek,A2,кёчек,"за"
köşk,A2,кёшк,"вилла; загородный дом; сад"
kültür,A2,кюлтюр,"культура"
küp,A2,кюп,"большой; крупный; куб"
kürek çekmek,A2,кюрек чекмек,"(нет перевода)"
küsmek,A2,кюсмек,"-ать; -еть"
kımıldamak,A2,кымылдамак,"-ать; -еть"
kırık,A2,кырык,"сломанный; из; насчёт"
kısım,A2,кысым,"глава; раздел; отрезок"
kıtlık,A2,кытлык,"недостаток; нехватка; Голод"
kıyma,A2,кыйма,"(нет перевода)"
kıymet,A2,кыймет,"ценность; важность"
kıyı,A2,кыйы,"побережье; морской берег; приморский"
kızartmak,A2,кызартмак,"-ать; -еть"
kızmak,A2,кызмак,"-ать; -еть; не"
kızıl,A2,кызыл,"яркий; светлый; рыжий"
lacivert,A2,ладживерт,"синий; тёмно-синий; ВМФ"
lahmacun,A2,лахмаджун,"лахмаджун"
lakap,A2,лакап,"прозвище"
lazım,A2,лазым,"необходимый; нужный"
levha,A2,левха,"надпись; посвящение; живопись"
lodos,A2,лодос,"ветер; дух"
lokum,A2,локум,"лукум; рахат-лукум; турецкий"
macera,A2,маджера,"дело; дельце; предприятие"
madde,A2,мадде,"тинг; вещь; статья"
magazin,A2,магазин,"(нет перевода)"
mahalli,A2,махалли,"определённый; ясный"
makarna,A2,макарна,"макаронные изделия; макароны; итальянский"
makyaj,A2,макйаж,"состав; строение; лифтинг"
malzeme,A2,малземе,"экипировка; оборудование; ингредиент"
martı,A2,марты,"чайка; обманывать"
maydanoz,A2,майданоз,"петрушка"
menü,A2,меню,"меню"
merak etmek,A2,мерак этмек,"-ать; -еть"
meraklı,A2,мераклы,"любопытный; интерес; заинтересованный"
merasim,A2,мерасим,"церемония; обряд"
mercimek,A2,мерджимек,"(нет перевода)"
mesai,A2,месаи,"работа; труд"
meslek,A2,меслек,"вероисповедание; обет"
mesut,A2,месут,"счастливый; радостный"
meteorolojik,A2,метеороложик,"(нет перевода)"
metre,A2,метре,"метр; правило; господство"
metrekare,A2,метрекаре,"квадратный метр; квадратный; квадрат"
metrobüs,A2,метробюс,"(нет перевода)"
mezun olmak,A2,мезун олмак,"(нет перевода)"
miktar,A2,миктар,"количество"
mimar,A2,мимар,"архитектор; архитекторка"
mizaç,A2,мизач,"(нет перевода)"
mobilya,A2,мобилйа,"предмет мебели; мебель"
mola vermek,A2,мола вермек,"(нет перевода)"
mucit,A2,муджит,"изобретатель; затейник"
muhteşem,A2,мухтешем,"захватывающий; импозантный"
mutlaka,A2,мутлака,"абсолютно; совершенно; наверняка"
müdür,A2,мюдюр,"директор; директриса"
müfettiş,A2,мюфеттиш,"инспектор; ревизор"
müze,A2,мюзе,"музей"
mısır,A2,мысыр,"Египет; зерно; мозоль"
nakit,A2,накит,"нал; наличные деньги"
nargile,A2,наргиле,"кальян"
naz,A2,наз,"(нет перевода)"
neden olmak,A2,неден олмак,"(нет перевода)"
nem,A2,нем,"влага; влажность; сырость"
nemli,A2,немли,"сырой"
neşeli,A2,нешели,"весёлый"
nişanlanmak,A2,нишанланмак,"-ать; -еть"
nişanlı,A2,нишанлы,"обручённая; обручённый"
numaralandırmak,A2,нумараландырмак,"(нет перевода)"
oda tutmak,A2,ода тутмак,"(нет перевода)"
okyanus,A2,окйанус,"океан"
oluşturmak,A2,олуштурмак,"-ать; -еть"
otopark,A2,отопарк,"автостоянка; паркинг; парковка"
oğul,A2,оул,"сын; сынок; потомок"
padişah,A2,падишах,"султан"
pamuk,A2,памук,"хлопковый; хлопчатый"
pansiyon,A2,пансийон,"посадка; абордаж"
para bozdurmak,A2,пара боздурмак,"(нет перевода)"
park etmek,A2,парк этмек,"-ать; -еть"
perde,A2,перде,"гардина; занавеска; парда"
peynir,A2,пейнир,"сыр; творог"
pide,A2,пиде,"(нет перевода)"
piramit,A2,пирамит,"пирамида"
pizza,A2,пизза,"пицца"
plaj,A2,плаж,"пляж; взморье; песочный"
polisiye,A2,полисийе,"полиция; милиция"
politika,A2,политика,"политика; курс; линия"
porsiyon,A2,порсийон,"(нет перевода)"
poğaça,A2,поача,"(нет перевода)"
problem çıkarmak,A2,проблем чыкармак,"(нет перевода)"
profil,A2,профил,"профиль; профилировать"
prospektüs,A2,проспектюс,"лекарство; медикамент; ещё"
protein,A2,протеин,"белок; протеин"
puan,A2,пуан,"полуостров; пункт"
radyo dalgası,A2,радйо далгасы,"(нет перевода)"
rahat,A2,рахат,"комфорт; удобство; комфортабельный"
rakip,A2,ракип,"соперник; конкурент"
refah,A2,рефах,"благополучие; социальная помощь"
rendelemek,A2,ренделемек,"-ать; -еть"
robot,A2,робот,"робот; многоточие; опущение"
romancı,A2,романджы,"(нет перевода)"
romantik,A2,романтик,"романтический; романтичный; романский"
romatizma,A2,роматизма,"(нет перевода)"
rütbe,A2,рютбе,"вонючий; прогорклый"
rüya,A2,рюйа,"сон; грёза"
rüzgâr,A2,рюзгар,"ветер; дух"
sabır,A2,сабыр,"терпение; терпеливость; воздержанность"
saf,A2,саф,"чистый; наивный; простодушный"
sahil,A2,сахил,"побережье; морской берег; приморский"
sakal,A2,сакал,"борода; брада; нежелаемый"
saklamak,A2,сакламак,"-ать; -еть"
salata,A2,салата,"салат; латук; синоним"
salyangoz,A2,салйангоз,"улитка; копуша"
saman,A2,саман,"соломенный; соломина; сено"
sanatçı,A2,санатчы,"художник; художница"
sandal,A2,сандал,"лодка; бот; сандалия"
saniye,A2,санийе,"второй; секундант"
santral görevlisi,A2,сантрал гёревлиси,"(нет перевода)"
sarı,A2,сары,"жёлтый"
satılık,A2,сатылык,"на продажу; продаваться; ибо"
satış,A2,сатыш,"предложение; предлагать"
saygı,A2,сайгы,"уважение; почтение"
sağanak,A2,саанак,"тяжёлый; тяжкий; внезапный"
sebze,A2,себзе,"овощной; растение"
sedefkâr,A2,седефкар,"(нет перевода)"
sel,A2,сел,"всемирный потоп; наводнение"
sene,A2,сене,"год; лет"
serin,A2,серин,"между; меж"
sevgi,A2,севги,"ноль; любовь"
sevimli,A2,севимли,"милый; симпатичный; очаровательный"
seyir,A2,сейир,"движение; часть; что-то"
seçim,A2,сечим,"выбор; выборы; избрание"
sifon,A2,сифон,"сифон"
sigara,A2,сигара,"папироса; сигарка"
sihirbaz,A2,сихирбаз,"волшебник; маг; ведьмак"
sihirli,A2,сихирли,"волшебный; магический"
silmek,A2,силмек,"-ать; -еть"
simit,A2,симит,"жизнь; живот"
sinyal,A2,синйал,"знак; сигнал"
sipariş,A2,сипариш,"порядок; команда"
sirk,A2,сирк,"цирк; круглая площадь"
sisli,A2,сисли,"туманный; мглистый"
siyah,A2,сийах,"чёрный"
siyasetçi,A2,сийасетчи,"политический деятель; политик"
soluklanmak,A2,солукланмак,"-ать; -еть"
sopa,A2,сопа,"палка; прут"
soslu,A2,сослу,"(нет перевода)"
sosyal paylaşım,A2,сосйал пайлашым,"(нет перевода)"
soğan,A2,соан,"лук; головка; луковица"
soğuk,A2,соук,"холодный"
stant,A2,стант,"стенд; будка"
su,A2,су,"вода"
söndürmek,A2,сёндюрмек,"-ать; -еть"
sörf,A2,сёрф,"сёрфинг; серфинг"
sözleşme,A2,сёзлешме,"вербальный; словесный; контракт"
süre,A2,сюре,"длительность; продолжительность"
sürtünmek,A2,сюртюнмек,"(нет перевода)"
sürü,A2,сюрю,"стадо; табун; ворох"
süslemek,A2,сюслемек,"-ать; -еть"
süzmek,A2,сюзмек,"-ать; -еть"
sıkıntı çekmek,A2,сыкынты чекмек,"(нет перевода)"
sıkışık,A2,сыкышык,"(нет перевода)"
sınav,A2,сынав,"тест; испытание"
sınır,A2,сыныр,"кордон; межа; предел"
sıradan,A2,сырадан,"обыкновенный; обычный"
sıralamak,A2,сыраламак,"-ать; -еть"
sıvı,A2,сывы,"жидкий; ликвидный"
sığmak,A2,сымак,"(нет перевода)"
tahmin etmek,A2,тахмин этмек,"-ать; -еть"
takip etmek,A2,такип этмек,"-ать; -еть; ибо"
takma,A2,такма,"вербальный; словесный; фальшивый"
takmak,A2,такмак,"-ать; -еть"
takım,A2,такым,"Сет; готовый; класс"
tamamlamak,A2,тамамламак,"-ать; -еть"
tamirci,A2,тамирджи,"ремонтник; ремонтница"
tane,A2,тане,"жито; зерно; сущность"
tapınak,A2,тапынак,"храм; место богослужения"
tarif,A2,тариф,"дефиниция; определение; описание"
tarif etmek,A2,тариф этмек,"(нет перевода)"
tarla,A2,тарла,"плантация; насаждение"
tartmak,A2,тартмак,"-ать; -еть"
tas,A2,тас,"(нет перевода)"
tatlı,A2,татлы,"благородный; добродушный; тихий"
tava,A2,тава,"сковорода; сковородка; Пан"
tavan,A2,таван,"потолок"
tavla,A2,тавла,"нарды; триктрак"
tavsiye,A2,тавсийе,"рекомендация; совет; наставление"
tavşan,A2,тавшан,"кролик; крольчиха; заяц"
taş,A2,таш,"каменный; камень; драгоценный камень"
taşmak,A2,ташмак,"-ать; -еть"
taşımak,A2,ташымак,"нести; носить; износ"
tecrübe,A2,теджрюбе,"опыт; переживание; эксперимент"
tek,A2,тек,"единственный; один; никакой"
teleskop,A2,телескоп,"телескоп"
telsiz,A2,телсиз,"беспроводный; беспроволочный; воки-токи"
tepe,A2,тепе,"холм; возвышение; лучший"
teslim,A2,теслим,"доставка; завоз"
toplantı,A2,топланты,"встреча; собрание; группа"
torun,A2,торун,"внук; внучка"
tost,A2,тост,"расплав; плавка"
toz,A2,тоз,"пыль; прах"
toz fırtınası,A2,тоз фыртынасы,"(нет перевода)"
tramvay,A2,трамвай,"(нет перевода)"
tropik yağmur,A2,тропик йамур,"(нет перевода)"
tsunami,A2,тсунами,"(нет перевода)"
tuvalet,A2,тувалет,"туалет; клозет; вечер"
tuz,A2,туз,"солевой; соляной"
tuş,A2,туш,"пуговица; кнопка"
tükenmek,A2,тюкенмек,"-ать; -еть"
tıraş olmak,A2,тыраш олмак,"-ать; -еть"
ud,A2,уд,"альтернативный; альтернатива"
unvan,A2,унван,"(нет перевода)"
usanmak,A2,усанмак,"-ать; -еть"
uslu,A2,услу,"спокойно; хороший; добрый"
usta,A2,уста,"владыка; господин; ещё"
uyarı,A2,уйары,"внимание; предупреждение"
uzatmak,A2,узатмак,"каузатив; каузативный залог; -ать"
vaat,A2,ваат,"обещание; посул"
vakit,A2,вакит,"время; час"
vakıf,A2,вакыф,"основание; учреждение"
valiz,A2,вализ,"чемодан"
vasıta,A2,васыта,"способ; средство; перевозочное средство"
vatandaş,A2,ватандаш,"гражданин; гражданка"
vestiyer,A2,вестийер,"гардероб; гардеробное помещение"
veteriner,A2,ветеринер,"ветеринар; ветеринарка"
vezne,A2,везне,"добрый; добродушный; ещё"
vize,A2,визе,"виза"
volkanik patlama,A2,волканик патлама,"(нет перевода)"
yalan söylemek,A2,йалан сёйлемек,"(нет перевода)"
yanardağ,A2,йанарда,"вулкан"
yapışmak,A2,йапышмак,"-ать; -еть"
yarar,A2,йарар,"преимущество; выгода; благо"
yarışma,A2,йарышма,"спор; диспут"
yatay,A2,йатай,"горизонтальный"
yatılı okul,A2,йатылы окул,"интернат; школа-интернат; посадка"
yatıştırmak,A2,йатыштырмак,"каузатив; каузативный залог"
yaygın,A2,йайгын,"широко распространённый"
yayımlamak,A2,йайымламак,"-ать; -еть"
yazar,A2,йазар,"автор; создатель"
yazlık kıyafet,A2,йазлык кыйафет,"(нет перевода)"
yağ,A2,йа,"масло; нефть; толстый"
yağmak,A2,йамак,"-ать; -еть"
yağmur,A2,йамур,"дождь"
yağmurluk,A2,йамурлук,"плащ; дождевик"
yaşam,A2,йашам,"жизнь; живот"
yem,A2,йем,"корм; еда; приманка"
yer kabuğu,A2,йер кабуу,"(нет перевода)"
yer çekimi,A2,йер чекими,"притяжение; гравитация"
yerleştirmek,A2,йерлештирмек,"-ать; -еть"
yeterince,A2,йетериндже,"адекватно; удовлетворительно; довольно"
yetişmek,A2,йетишмек,"-ать; -еть"
yetiştirmek,A2,йетиштирмек,"-ать; -еть"
yolculuk,A2,йолджулук,"вояж; плавание"
yorgan,A2,йорган,"(нет перевода)"
yosun,A2,йосун,"мох"
yoğunluk,A2,йоунлук,"густота; плотность; интенсивность"
yumurta,A2,йумурта,"яйцо; шишка"
yönetmen,A2,йёнетмен,"режиссёр; директор"
yöresel,A2,йёресел,"(нет перевода)"
yüksek,A2,йюксек,"находящийся; расположенный; возвышенный"
yıldırım,A2,йылдырым,"молниеносный; молния"
zannetmek,A2,заннетмек,"предполагать; предположить"
zarar,A2,зарар,"вред; повреждение"
ziyaret,A2,зийарет,"посещение; визит"
âşık,A2,ашык,"влюблённый в; за; влюблённый"
çadır,A2,чадыр,"шатёр; палатка"
çalıştırmak,A2,чалыштырмак,"каузатив; каузативный залог"
çarpmak,A2,чарпмак,"-ать; -еть"
çağırmak,A2,чаырмак,"-ать; -еть"
çekinmek,A2,чекинмек,"-ать; -еть"
çekirdek,A2,чекирдек,"сущность; суть; семя"
çekmek,A2,чекмек,"обуза; разочарование; жеребьёвка"
çikolata,A2,чиколата,"шоколадный; шоколад"
çim,A2,чим,"мурава; трава"
çizgi,A2,чизги,"линия; прямая"
çizgi film,A2,чизги филм,"(нет перевода)"
çizmek,A2,чизмек,"-ать; -еть"
Çiğ,A2,чий,"сырой; необработанный; резкий"
çöp,A2,чёп,"сор; мусор; вздор"
çöpçü,A2,чёпчю,"сор; мусор"
çözmek,A2,чёзмек,"-ать; -еть"
çıkış,A2,чыкыш,"акт; действие; выход"
çırpmak,A2,чырпмак,"-ать; -еть"
ödeme,A2,ёдеме,"(нет перевода)"
ödül,A2,ёдюл,"добыча; трофей"
ölümsüz,A2,ёлюмсюз,"бессмертный"
ölümsüzlük,A2,ёлюмсюзлюк,"бессмертие; бессмертность"
öncelik,A2,ёнджелик,"приоритет"
öneri,A2,ёнери,"предложение; предлагать"
önermek,A2,ёнермек,"-ать; -еть"
özen göstermek,A2,ёзен гёстермек,"(нет перевода)"
özet,A2,ёзет,"итог; краткое изложение"
öğle yemeği,A2,ёйле йемейи,"ленч; обед"
ünlü,A2,юнлю,"известный; знаменитый; знаменитость"
ütülemek,A2,ютюлемек,"-ать; -еть"
ılık,A2,ылык,"тёплый; сердечный; между"
ılıman,A2,ылыман,"(нет перевода)"
ıslık çalmak,A2,ыслык чалмак,"-ать; -еть"
ısmarlamak,A2,ысмарламак,"на заказ; -ать; -еть"
ışın,A2,ышын,"скат; луч"
şarap,A2,шарап,"вино; бордо"
şaşırmak,A2,шашырмак,"-ать; -еть"
şekerleme,A2,шекерлеме,"(нет перевода)"
şelale,A2,шелале,"водопад; каскад"
şiddet,A2,шиддет,"мощь; сила; строгость"
şirin,A2,ширин,"милашка; прелесть; милый"
şiş,A2,шиш,"вздутый; набухший; бластома"
şişirmek,A2,шиширмек,"-ать; -еть"
şövalye,A2,шёвалйе,"рыцарь; богатырь"
şımartmak,A2,шымартмак,"каузатив; каузативный залог"
abone,B1,абоне,"подписчик; абонент; абонемент"
abur cubur,B1,абур джубур,"барахло; рухлядь; бессмысленный"
acil,B1,аджил,"неотложный; спешный"
adalet,B1,адалет,"справедливость; правосудие; беспристрастие"
adet yerini bulmak,B1,адет йерини булмак,"(нет перевода)"
adım,B1,адым,"ступенька; ступень"
ahretlik,B1,ахретлик,"(нет перевода)"
akik,B1,акик,"агат"
aklına getirmek,B1,аклына гетирмек,"(нет перевода)"
aksamak,B1,аксамак,"-ать; -еть"
akuamarin,B1,акуамарин,"(нет перевода)"
akılcı,B1,акылджы,"разумный; рассудительный"
akıldan geçirmek,B1,акылдан гечирмек,"(нет перевода)"
akıtmak,B1,акытмак,"-ать; -еть"
alameti farika,B1,аламети фарика,"(нет перевода)"
algı,B1,алгы,"информированность; осведомлённость"
algılamak,B1,алгыламак,"-ать; -еть"
alçak gönüllü,B1,алчак гёнюллю,"скромный; благопристойный"
alım gücü,B1,алым гюджю,"покупательная способность; покупка; приобретение"
amaç,B1,амач,"цель; предназначение"
ambalaj,B1,амбалаж,"пакет; посылка"
ametist,B1,аметист,"аметистовый; аметист"
amiral,B1,амирал,"адмирал"
anadili,B1,анадили,"(нет перевода)"
analiz,B1,анализ,"анализ; разбор"
anayasa,B1,анайаса,"устройство; конституция"
anonim,B1,аноним,"анонимный; безымянный"
antrenman,B1,антренман,"тренинг; обучение"
anımsamak,B1,анымсамак,"-ать; -еть"
araç,B1,арач,"инструмент; орудие труда; перевозочное средство"
arkeoloji,B1,аркеоложи,"археология"
artırmak,B1,артырмак,"каузатив; каузативный залог"
arzu,B1,арзу,"жажда; желание; желать"
arınmak,B1,арынмак,"-ать; -еть"
arıza,B1,арыза,"неисправность; сбой; ДТП"
asgari,B1,асгари,"минимальный; минималистичный"
atılgan,B1,атылган,"агрессивный; воинственный; отважный"
atıştırmak,B1,атыштырмак,"-ать; -еть"
ayakta,B1,айакта,"бодрствующий; не спящий"
ayakta durmak,B1,айакта дурмак,"-ать; -еть"
ayakta kalmak,B1,айакта калмак,"(нет перевода)"
ayrılmak,B1,айрылмак,"пассивный; бездеятельный; -ать"
ayrıntı,B1,айрынты,"деталь; подробность"
aytaşı,B1,айташы,"(нет перевода)"
ayırmak,B1,айырмак,"-ать; -еть"
azim,B1,азим,"определение; установление"
açıklığa kavuşmak,B1,ачыклыа кавушмак,"(нет перевода)"
ağırlama,B1,аырлама,"(нет перевода)"
ağırlık vermek,B1,аырлык вермек,"(нет перевода)"
aşama,B1,ашама,"диплом; степень"
aşağılama,B1,ашаылама,"герундий; деепричастие"
aşmak,B1,ашмак,"-ать; -еть"
aşırı,B1,ашыры,"избыточный; излишний; фанатичный"
baca,B1,баджа,"труба; дымовая труба; вентиляционная шахта"
bahane,B1,бахане,"(нет перевода)"
bahsedebîlme,B1,бахседебилме,"(нет перевода)"
bahsetmek,B1,бахсетмек,"-ать; -еть"
bakış açısı,B1,бакыш ачысы,"(нет перевода)"
baskı,B1,баскы,"печатание; печать; выпуск"
batıl inanç,B1,батыл инанч,"суеверие; поверье"
bazlama,B1,базлама,"(нет перевода)"
bağlam,B1,балам,"контекст; обстановка"
bağlılık,B1,балылык,"соединение; связь; верность"
bağımsız,B1,баымсыз,"независимый; самостоятельный; автономный"
başarı,B1,башары,"удача; успех; выполнение"
başkan,B1,башкан,"президент; глава государства; мэр"
başlık,B1,башлык,"головной убор; шапка; имущество"
başının etini yemek,B1,башынын этини йемек,"(нет перевода)"
bedel,B1,бедел,"эквивалентный; равноценный; ценность"
beden dili,B1,беден дили,"(нет перевода)"
beklenti,B1,бекленти,"ожидание; надежда; предсказание"
belirgin,B1,белиргин,"отчётливый; разборчивый"
belirlemek,B1,белирлемек,"-ать; -еть"
benimsemek,B1,бенимсемек,"-ать; -еть"
benzerlik,B1,бензерлик,"подобие; сходство"
bereket,B1,берекет,"благодарить; поблагодарить; избыток"
berrak,B1,беррак,"прозрачный; чистый; понятный"
berraklaştırmak,B1,берраклаштырмак,"(нет перевода)"
bilek,B1,билек,"запястье; лодыжка; щиколотка"
